            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448286.295138889, A.D. 1991-Jan-29 19:05:00.0000, -1.351114174842082E+07,  1.501031544238816E+08,  9.814390798277080E+06,
2448287.295138889, A.D. 1991-Jan-30 19:05:00.0000, -1.384135062879800E+07,  1.526085571107014E+08,  9.861803435808323E+06,
2448288.295138889, A.D. 1991-Jan-31 19:05:00.0000, -1.419638339391995E+07,  1.551373201020269E+08,  9.908810026099600E+06,
2448289.295138889, A.D. 1991-Feb-01 19:05:00.0000, -1.457679107744838E+07,  1.576891192151483E+08,  9.955421007645622E+06,
2448290.295138889, A.D. 1991-Feb-02 19:05:00.0000, -1.498313345842225E+07,  1.602636207617373E+08,  1.000164549541207E+07,
2448291.295138889, A.D. 1991-Feb-03 19:05:00.0000, -1.541597728672287E+07,  1.628604762891723E+08,  1.004749115367921E+07,
2448292.295138889, A.D. 1991-Feb-04 19:05:00.0000, -1.587589329955723E+07,  1.654793192828231E+08,  1.009296426539452E+07,
2448293.295138889, A.D. 1991-Feb-05 19:05:00.0000, -1.636345296294519E+07,  1.681197634740420E+08,  1.013806989482853E+07,
2448294.295138889, A.D. 1991-Feb-06 19:05:00.0000, -1.687922557222508E+07,  1.707814023439969E+08,  1.018281207384276E+07,
2448295.295138889, A.D. 1991-Feb-07 19:05:00.0000, -1.742377597082877E+07,  1.734638093074295E+08,  1.022719396809420E+07,
2448296.295138889, A.D. 1991-Feb-08 19:05:00.0000, -1.799766271291969E+07,  1.761665365984088E+08,  1.027121791325233E+07,
2448297.295138889, A.D. 1991-Feb-09 19:05:00.0000, -1.860143725551317E+07,  1.788891198044090E+08,  1.031488575465892E+07,
2448298.295138889, A.D. 1991-Feb-10 19:05:00.0000, -1.923564259052696E+07,  1.816310747604183E+08,  1.035819871771008E+07,
2448299.295138889, A.D. 1991-Feb-11 19:05:00.0000, -1.990081221347287E+07,  1.843918976572002E+08,  1.040115747618356E+07,
2448300.295138889, A.D. 1991-Feb-12 19:05:00.0000, -2.059746889136041E+07,  1.871710652491287E+08,  1.044376224839772E+07,
2448301.295138889, A.D. 1991-Feb-13 19:05:00.0000, -2.132612300763078E+07,  1.899680346129254E+08,  1.048601289748998E+07,
2448302.295138889, A.D. 1991-Feb-14 19:05:00.0000, -2.208727047261550E+07,  1.927822431369264E+08,  1.052790907713598E+07,
2448303.295138889, A.D. 1991-Feb-15 19:05:00.0000, -2.288139025932012E+07,  1.956131089930522E+08,  1.056945042845905E+07,
2448304.295138889, A.D. 1991-Feb-16 19:05:00.0000, -2.370894174924185E+07,  1.984600323067872E+08,  1.061063682211398E+07,
2448305.295138889, A.D. 1991-Feb-17 19:05:00.0000, -2.457036216879570E+07,  2.013223971413284E+08,  1.065146862749487E+07,
2448306.295138889, A.D. 1991-Feb-18 19:05:00.0000, -2.546606442934504E+07,  2.041995742757451E+08,  1.069194698260015E+07,
2448307.295138889, A.D. 1991-Feb-19 19:05:00.0000, -2.639643564294910E+07,  2.070909246298974E+08,  1.073207403604515E+07,
2448308.295138889, A.D. 1991-Feb-20 19:05:00.0000, -2.736183649892877E+07,  2.099958031128396E+08,  1.077185313663784E+07,
2448309.295138889, A.D. 1991-Feb-21 19:05:00.0000, -2.836260160272956E+07,  2.129135626546418E+08,  1.081128895210740E+07,
2448310.295138889, A.D. 1991-Feb-22 19:05:00.0000, -2.939904056016706E+07,  2.158435561288905E+08,  1.085038739819385E+07,
2448311.295138889, A.D. 1991-Feb-23 19:05:00.0000, -3.047144119651154E+07,  2.187851458960315E+08,  1.088915586873569E+07,
2448312.295138889, A.D. 1991-Feb-24 19:05:00.0000, -3.158007238601635E+07,  2.217377016209269E+08,  1.092760278921448E+07,
2448313.295138889, A.D. 1991-Feb-25 19:05:00.0000, -3.272518872039803E+07,  2.247006033246340E+08,  1.096573736459661E+07,
2448314.295138889, A.D. 1991-Feb-26 19:05:00.0000, -3.390703570039096E+07,  2.276732420748134E+08,  1.100356917145967E+07,
2448315.295138889, A.D. 1991-Feb-27 19:05:00.0000, -3.512585483076929E+07,  2.306550184485195E+08,  1.104110765961500E+07,
2448316.295138889, A.D. 1991-Feb-28 19:05:00.0000, -3.638188778342151E+07,  2.336453391608109E+08,  1.107836165391968E+07,
2448317.295138889, A.D. 1991-Mar-01 19:05:00.0000, -3.767537864084550E+07,  2.366436111193874E+08,  1.111533888080379E+07,
2448318.295138889, A.D. 1991-Mar-02 19:05:00.0000, -3.900657490611363E+07,  2.396492400983345E+08,  1.115204588139474E+07,
2448319.295138889, A.D. 1991-Mar-03 19:05:00.0000, -4.037572563110771E+07,  2.426616235271503E+08,  1.118848779173380E+07,
2448320.295138889, A.D. 1991-Mar-04 19:05:00.0000, -4.178307889412720E+07,  2.456801476849738E+08,  1.122466842006882E+07,
2448321.295138889, A.D. 1991-Mar-05 19:05:00.0000, -4.322887888462260E+07,  2.487041863790145E+08,  1.126059042079301E+07,
2448322.295138889, A.D. 1991-Mar-06 19:05:00.0000, -4.471336312813994E+07,  2.517331004310320E+08,  1.129625548515555E+07,
2448323.295138889, A.D. 1991-Mar-07 19:05:00.0000, -4.623676011551297E+07,  2.547662372353377E+08,  1.133166449021302E+07,
2448324.295138889, A.D. 1991-Mar-08 19:05:00.0000, -4.779928794201282E+07,  2.578029328362411E+08,  1.136681771391632E+07,
2448325.295138889, A.D. 1991-Mar-09 19:05:00.0000, -4.940115308676476E+07,  2.608425120742143E+08,  1.140171492230509E+07,
2448326.295138889, A.D. 1991-Mar-10 19:05:00.0000, -5.104254939623229E+07,  2.638842880318500E+08,  1.143635540240093E+07,
2448327.295138889, A.D. 1991-Mar-11 19:05:00.0000, -5.272365739279085E+07,  2.669275626625722E+08,  1.147073804713529E+07,
2448328.295138889, A.D. 1991-Mar-12 19:05:00.0000, -5.444464328877115E+07,  2.699716266301749E+08,  1.150486142164919E+07,
2448329.295138889, A.D. 1991-Mar-13 19:05:00.0000, -5.620565758699244E+07,  2.730157590452156E+08,  1.153872385904700E+07,
2448330.295138889, A.D. 1991-Mar-14 19:05:00.0000, -5.800683281082515E+07,  2.760592258557647E+08,  1.157232354222378E+07,
2448331.295138889, A.D. 1991-Mar-15 19:05:00.0000, -5.984828188796452E+07,  2.791012846046298E+08,  1.160565890520114E+07,
2448332.295138889, A.D. 1991-Mar-16 19:05:00.0000, -6.173009442997216E+07,  2.821411817342326E+08,  1.163872873735321E+07,
2448333.295138889, A.D. 1991-Mar-17 19:05:00.0000, -6.365233409825724E+07,  2.851781560462936E+08,  1.167153254545473E+07,
2448334.295138889, A.D. 1991-Mar-18 19:05:00.0000, -6.561503642599057E+07,  2.882114425535605E+08,  1.170407087685972E+07,
2448335.295138889, A.D. 1991-Mar-19 19:05:00.0000, -6.761820779972436E+07,  2.912402770744586E+08,  1.173634557390876E+07,
2448336.295138889, A.D. 1991-Mar-20 19:05:00.0000, -6.966182566824043E+07,  2.942638997429259E+08,  1.176835985663560E+07,
2448337.295138889, A.D. 1991-Mar-21 19:05:00.0000, -7.174584163987267E+07,  2.972815637569948E+08,  1.180011849116634E+07,
2448338.295138889, A.D. 1991-Mar-22 19:05:00.0000, -7.387018400816223E+07,  3.002925351911045E+08,  1.183162748889878E+07,
2448339.295138889, A.D. 1991-Mar-23 19:05:00.0000, -7.603476202368023E+07,  3.032960955541726E+08,  1.186289385429466E+07,
2448340.295138889, A.D. 1991-Mar-24 19:05:00.0000, -7.823947116180266E+07,  3.062915454744150E+08,  1.189392534720850E+07,
